symbol,security_name,listing_exchange,etf,financial_status,zip,sector,fullTimeEmployees,city,state,country,industry,twoHundredDayAverage,trailingAnnualDividendYield,averageDailyVolume10Day,regularMarketPreviousClose,open,averageVolume10days,dividendRate,regularMarketVolume,marketCap,averageVolume,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,dividendYield,bidSize,dayHigh,enterpriseToRevenue,forwardEps,revenueQuarterlyGrowth,bookValue,sharesShort,shortRatio,floatShares,enterpriseValue,regularMarketPrice,latest_dividend
ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,HM 08,Financial Services,4300.0,Pembroke,,Bermuda,Insurance—Diversified,24.442347,,38614,23.83,23.99,38614,1.31,39985,14564569088.0,56643,23.85,0.0,26.13,,,0.0554,1000.0,24.0,1.698,,,26.17,,,358567789.0,11443280896.0,23.99,0.328
ACNB,ACNB Corporation - Common Stock,Q,N,N,17325,Financial Services,374.0,Gettysburg,PA,United States,Banks—Regional,30.960735,0.041237112,22557,24.25,24.91,22557,1.0,22455,227671840.0,29409,24.31,0.0,39.57,,2.94,0.041199997,900.0,26.45,2.361,,,28.489,38990.0,1.42,8349206.0,188070384.0,24.91,0.25
ACP,Aberdeen Income Credit Strategies Fund Common Shares,N,N,,AB10 1YG,Financial Services,,Aberdeen,,United Kingdom,Asset Management,9.852868,,128300,7.82,7.83,128300,1.44,136614,138585184.0,189224,7.81,7.94,12.573099,,11.54,0.1868,1400.0,7.96,,,,,9174.0,0.06,,,7.83,0.12
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,N,,10167,Real Estate,,New York,NY,United States,REIT—Mortgage,12.491765,0.17322835,440614,7.62,7.75,440614,1.32,585657,268204048.0,841888,7.7,7.99,17.72,7.7115393,8.56,0.1732,1000.0,8.15,31.943,1.04,,14.044,838865.0,0.87,31690782.0,1781596928.0,7.75,0.33
ACU,Acme United Corporation. Common Stock,A,N,,06824,Consumer Defensive,441.0,Fairfield,CT,United States,Household & Personal Products,22.223602,0.023088021,18957,20.79,21.0,18957,0.48,8413,71593880.0,15479,20.89,23.75,24.91,13.000001,2.06,0.0231,1000.0,21.45,0.734,1.65,,16.713,1103.0,0.07,2723705.0,107854912.0,21.0,0.12
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,N,,10019,Financial Services,,New York,NY,United States,Asset Management,22.558786,,32042,22.28,22.31,32042,2.0,31647,231291216.0,77027,21.79,25.03,26.661,,,0.089899994,1100.0,22.425,,,,,17966.0,0.31,,,22.31,0.167
ADC,Agree Realty Corporation Common Stock,N,N,,48304,Real Estate,41.0,Bloomfield Hills,MI,United States,REIT—Retail,68.79985,0.035708763,503928,64.69,66.35,503928,2.4,692067,3513960448.0,790827,62.88,73.08,80.51,37.073864,4.1,0.037100002,800.0,66.99,21.052,1.76,,37.483,7650448.0,8.52,45892725.0,4230171392.0,66.35,0.585
ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,02062,Technology,16400.0,Norwood,MA,United States,Semiconductors,109.19022,0.019875778,2800685,112.7,113.82,2800685,2.48,1781436,42250977280.0,3285454,111.625,116.13,127.3,22.311285,2.23,0.0216,900.0,115.28,7.949,5.14,,31.746,5982760.0,2.16,366761939.0,45737594880.0,113.82,0.62
ADM,Archer-Daniels-Midland Company Common Stock,N,N,,60601,Consumer Defensive,38000.0,Chicago,IL,United States,Farm Products,40.250587,0.03797468,2429542,37.13,37.72,2429542,1.44,3961993,21664344064.0,3681069,37.72,39.1,47.2,11.403508,2.96,0.0369,1300.0,39.0,0.452,3.42,,34.148,8021373.0,2.5,553540863.0,29065506816.0,37.72,0.36
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,07068,Industrials,58000.0,Roseland,NJ,United States,Staffing & Employment Services,156.92603,0.024474518,3331428,138.92,141.3,3331428,3.64,3117889,62175408128.0,3089161,139.535,146.34,182.32,25.16,2.1,0.0252,900.0,145.125,4.303,5.75,,12.775,4323940.0,1.73,428953507.0,63502860288.0,141.3,0.91
ADS,Alliance Data Systems Corporation Common Stock,N,N,,43219,Financial Services,8500.0,Columbus,OH,United States,Credit Services,78.10824,0.0509915,1699100,49.42,52.96,1699100,0.84,2052906,2476179712.0,1968882,50.16,59.99,159.41,3.9060857,,0.017,800.0,54.4,3.361,13.31,,22.837,3117535.0,1.55,46222937.0,18917687296.0,52.96,0.21
ADT,ADT Inc. Common Stock,N,N,,33431,Industrials,17500.0,Boca Raton,FL,United States,Security & Protection Services,6.520956,0.020231213,1862557,6.92,7.1,1862557,0.14,1995297,5283215360.0,2313351,6.725,7.21,9.705,6.411215,,0.0215,4000.0,7.21,2.785,1.07,,3.759,22468127.0,9.56,108221174.0,14628448256.0,7.1,0.035
ADTN,"ADTRAN, Inc. - Common Stock",Q,N,N,35806,Technology,1790.0,Huntsville,AL,United States,Communication Equipment,9.115,0.032315977,297814,11.14,11.35,297814,0.36,327574,545756352.0,421287,10.96,13.89,16.99,71.125,2.38,0.0321,900.0,11.39,0.951,0.16,,7.584,757874.0,1.91,47471721.0,476245504.0,11.35,0.09
ADX,Adams Diversified Equity Fund Inc.,N,N,,21202,Financial Services,,Baltimore,MD,United States,Asset Management,14.807353,0.097796135,209214,14.52,14.61,209214,0.21,172614,1595257216.0,484091,14.4,15.15,16.76,,3.55,0.0145000005,1400.0,14.68,46.195,,,17.935,691210.0,1.67,107176603.0,1549222528.0,14.61,0.05
AEE,Ameren Corporation Common Stock,N,N,,63103,Utilities,9323.0,St. Louis,MO,United States,Utilities—Regulated Electric,76.28088,0.02741662,1793714,70.76,71.93,1793714,1.98,2565489,17408284672.0,2235633,69.3,78.0,87.66,18.702919,3.08,0.028099999,800.0,71.93,5.084,3.77,,32.746,12690399.0,7.3,245486221.0,28139698176.0,71.93,0.495
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock",A,N,,EC4M 9HH,Financial Services,,London,,United Kingdom,Asset Management,6.5958824,0.03063063,70628,5.55,5.59,70628,0.22,57395,284210080.0,99209,5.53,10.93,8.01,,,0.038900003,1100.0,5.63,16.363,,,8.656,8027.0,0.04,,322278880.0,5.59,0.054
AEL,American Equity Investment Life Holding Company Common Stock,N,N,,50266,Financial Services,608.0,West Des Moines,IA,United States,Insurance—Life,24.77103,0.013711153,711328,21.88,23.0,711328,0.3,751206,2101436928.0,868111,22.52,22.94,34.16,4.793319,1.01,0.0137,800.0,23.74,0.423,4.79,,38.501,2809327.0,3.76,89870248.0,907702848.0,23.0,0.3
AEM,Agnico Eagle Mines Limited Common Stock,N,N,,M5C 2Y7,Basic Materials,6193.0,Toronto,ON,Canada,Gold,56.164852,0.0098611545,1520185,63.38,60.95,1520185,0.8,2032470,15155935232.0,2392174,60.13,64.29,69.66,27.447826,0.97,0.0127,800.0,63.32,6.573,2.3,,20.973,2624220.0,1.28,239585052.0,17316395008.0,60.95,0.2
AEP,"American Electric Power Company, Inc. Common Stock",N,N,,43215-2373,Utilities,17408.0,Columbus,OH,United States,Utilities—Regulated Electric,89.95221,0.034284286,2743757,79.92,81.04,2743757,2.8,3484125,40360280064.0,3997861,80.272,82.19,104.97,17.551725,3.36,0.0344,900.0,81.49,4.692,4.64,,39.839,6865440.0,2.15,495042947.0,71569965056.0,81.04,0.7
AES,The AES Corporation Common Stock,N,N,,22203,Utilities,8000.0,Arlington,VA,United States,Utilities—Diversified,16.757353,0.04293478,6198757,12.88,13.15,6198757,0.57,6602079,8490862592.0,6909053,12.57,0.0,21.23,8.23871,3.65,0.044899996,3200.0,13.23,3.039,1.55,,3.819,5760777.0,0.96,662148109.0,30013360128.0,13.15,0.143
AFB,AllianceBernstein National Municipal Income Fund Inc,N,N,,10105,Financial Services,,New York,NY,United States,Asset Management,13.438677,0.04263566,48971,12.9,12.94,48971,0.64,37924,376845632.0,79937,12.94,13.11,14.51,,4.87,0.0495,800.0,13.11,23.911,,,15.232,24900.0,0.32,,626067328.0,12.94,0.046
AFG,"American Financial Group, Inc. Common Stock",N,N,,45202,Financial Services,7700.0,Cincinnati,OH,United States,Insurance—Property & Casualty,90.73147,0.026504522,811542,64.14,65.63,811542,1.8,1166076,6020292096.0,765208,65.12,67.28,115.03,7.7647743,1.45,0.028099999,1800.0,67.79,0.957,8.63,,56.186,886198.0,1.44,70465505.0,6963190272.0,65.63,0.45
AFIN,"American Finance Trust, Inc. - Class A Common Stock",Q,N,N,10019,Real Estate,,New York,NY,United States,REIT—Diversified,10.686397,0.13704632,403014,7.99,8.24,403014,0.85,664448,881247360.0,704769,7.961,0.0,15.18,7.6603775,,0.1161,900.0,8.31,8.148,1.06,,15.356,3152076.0,4.56,108001573.0,2466892288.0,8.24,0.071
AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,N,N,10019,Real Estate,,New York,NY,United States,REIT—Diversified,22.293486,0.055867348,42500,19.6,19.86,42500,1.88,53585,893180032.0,64151,19.61,21.99,26.15,,,0.097600006,800.0,20.34,12.368,,,15.356,,,108001573.0,3744584448.0,19.86,0.469
AFL,AFLAC Incorporated Common Stock,N,N,,31999,Financial Services,11729.0,Columbus,GA,United States,Insurance—Life,44.74647,0.030085566,3914157,36.23,37.97,3914157,1.12,4106481,26669770752.0,5205833,36.66,37.8,57.18,8.315436,2.27,0.0301,1200.0,37.97,1.407,4.47,,36.752,9998779.0,2.43,664828488.0,30682836992.0,37.97,0.28
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,N,N,,10019,Financial Services,,New York,NY,United States,Asset Management,13.717941,0.1,57442,12.0,12.08,57442,1.15,36243,188745968.0,101193,12.04,15.88,15.63,,7.21,0.0955,3000.0,12.14,10.696,,,16.94,12896.0,0.12,,314592864.0,12.08,0.077
AGCO,AGCO Corporation Common Stock,N,N,,30096,Industrials,20961.0,Duluth,GA,United States,Farm & Heavy Construction Machinery,63.25941,0.011220196,586671,57.04,58.54,586671,0.64,609717,4352065536.0,689004,56.71,60.13,81.39,14.007229,0.92,0.0112,1100.0,59.96,0.616,4.15,,35.293,1469341.0,2.37,61423763.0,5526189056.0,58.54,0.16
AGD,Aberdeen Global Dynamic Dividend Fund,N,N,,AB10 1YG,Financial Services,,Aberdeen,,United Kingdom,Asset Management,9.203529,0.09296781,41500,8.39,8.4,41500,0.78,45107,106546104.0,88109,8.3908,10.65,10.78,,8.23,0.093,800.0,8.52,9.259,,,11.138,20838.0,0.23,,103310184.0,8.4,0.065
AGI,Alamos Gold Inc. Class A Common Shares,N,N,,M5J 2T3,Basic Materials,1700.0,Toronto,ON,Canada,Gold,6.235147,0.005776637,3224285,7.79,7.56,3224285,0.06,2597738,3130639872.0,4225772,7.47,8.44,8.77,25.903225,0.69,0.0075,2200.0,8.05,4.406,0.31,,6.793,2334926.0,0.76,389018358.0,3101700096.0,7.56,0.015
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,N,,20006,Financial Services,103.0,Washington,DC,United States,Credit Services,70.726326,0.045073055,56128,64.34,66.39,56128,3.2,50818,723527296.0,68687,64.62,68.5,88.46,6.8681545,2.49,0.0497,3100.0,68.44,123.835,9.86,,43.387,117036.0,1.4,8901006.0,21924134912.0,66.39,0.8
AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,15.57125,0.14456037,9761657,13.42,13.61,9761657,1.44,10206708,7545725440.0,14254893,13.125,13.5,19.65,7.062827,12.33,0.1073,4000.0,13.62,-35.896,1.91,,14.636,13832623.0,1.0,555558553.0,68596625408.0,13.61,0.12
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,23.716162,0.08587871,27100,22.59,22.72,27100,1.72,35669,8091066368.0,93845,22.64,28.39,26.271,,,0.0762,1000.0,22.99,-38.842,,,14.636,,,555558553.0,74226548736.0,22.72,0.43
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,24.239471,0.084091894,40842,23.07,23.44,40842,1.75,39579,7961194496.0,128841,23.06,0.0,26.59,,,0.0759,1000.0,23.44,-39.003,,,14.636,,,555558553.0,74534199296.0,23.44,0.438
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,23.594618,0.08695652,57785,22.31,22.5,57785,1.62,27927,,214562,22.27,0.0,26.59,,,0.0727,1000.0,22.54,-38.76,,,14.636,,,555558553.0,74069925888.0,22.5,0.406
AGO,Assured Guaranty Ltd. Common Stock,N,N,,HM 08,Financial Services,441.0,Hamilton,,Bermuda,Insurance—Specialty,39.46434,0.026987601,964771,27.42,28.74,964771,0.8,710930,2501459712.0,1147179,28.33,0.0,50.77,7.6137567,1.66,0.0292,900.0,29.57,2.874,3.78,,69.377,3363930.0,3.05,83009278.0,2672738816.0,28.74,0.2
AGR,"Avangrid, Inc. Common Stock",N,N,,06477,Utilities,6600.0,Orange,CT,United States,Utilities—Regulated Electric,47.90625,0.041825093,602685,42.08,42.84,602685,1.76,786836,13256314880.0,897996,42.3,42.94,57.24,17.800829,,0.0418,900.0,43.19,3.496,2.41,,49.598,2360989.0,3.22,55951623.0,21974552576.0,42.84,0.44
AGX,"Argan, Inc. Common Stock",N,N,,20850,Industrials,1154.0,Rockville,MD,United States,Engineering & Construction,39.04147,0.026497085,147214,37.74,38.61,147214,1.0,313479,578865024.0,172835,36.62,45.21,47.73,9.20398,,0.026500002,800.0,38.65,0.988,4.02,,21.698,401411.0,1.87,13912410.0,236061008.0,38.61,0.25
AHC,A.H. Belo Corporation (TX) Common Stock,N,N,,75201,Communication Services,830.0,Dallas,TX,United States,Publishing,2.365,0.20273694,42571,1.5784,1.58,42571,0.16,57825,34898952.0,80187,1.595,1.66,3.98,3.6222224,7.35,0.0967,3100.0,1.66,0.054,0.45,,2.697,35548.0,0.31,18340811.0,9901468.0,1.58,0.08
AIF,Apollo Tactical Income Fund Inc. Common Stock,N,N,,10019,Financial Services,,New York,NY,United States,Asset Management,13.625588,0.1035443,58228,11.85,11.93,58228,1.17,38841,173568000.0,112508,11.9,12.02,15.89,11.320755,8.37,0.0986,1200.0,12.02,10.477,1.06,,16.852,48995.0,0.48,,291065888.0,11.93,0.081
AIMC,Altra Industrial Motion Corp. - Common Stock,Q,N,N,02184,Industrials,9200.0,Braintree,MA,United States,Specialty Industrial Machinery,28.973162,0.022621425,378642,30.06,30.96,378642,0.16,408036,2106849024.0,620796,30.4868,0.0,38.43,13.579166,1.94,0.0053,1000.0,32.73,1.816,2.4,,27.215,916811.0,1.52,63884938.0,3242877184.0,30.96,0.17
AIN,Albany International Corporation Common Stock,N,N,,03867,Consumer Cyclical,4600.0,Rochester,NH,United States,Textile Manufacturing,65.14897,0.012237473,193414,60.47,62.21,193414,0.76,299802,2098531072.0,315861,61.22,75.0,92.05,20.303125,1.31,0.0126,900.0,65.05,1.971,3.2,,20.636,745217.0,2.72,30399145.0,2046729984.0,62.21,0.19
AIR,AAR Corp. Common Stock,N,N,,60191,Industrials,5650.0,Wood Dale,IL,United States,Aerospace & Defense,33.2675,0.015576324,351857,19.26,20.32,351857,0.3,514265,746591936.0,483795,19.91,21.9,52.78,22.62766,0.93,0.0156,800.0,21.31,0.396,0.94,,26.886,1144240.0,2.73,32661887.0,878150272.0,20.32,0.075
AIT,"Applied Industrial Technologies, Inc. Common Stock",N,N,,44115,Industrials,6471.0,Cleveland,OH,United States,Industrial Distribution,58.020588,0.021466598,163471,58.23,59.98,163471,1.28,212772,2322419968.0,270211,59.08,59.99,70.62,20.27027,2.1,0.021300001,800.0,60.39,0.868,2.96,,21.458,605532.0,2.65,38234775.0,2953868032.0,59.98,0.32
AIZ,"Assurant, Inc. Common Stock",N,N,,10005,Financial Services,14000.0,New York,NY,United States,Insurance—Specialty,119.079414,0.02392298,548942,102.83,107.08,548942,2.52,362404,6225910784.0,593687,103.27,116.89,142.61,9.902277,2.09,0.0241,900.0,107.11,0.744,10.54,,89.89,2303591.0,5.16,59006218.0,7477342720.0,107.08,0.63
AIZP,"Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value",N,N,,10005,Financial Services,14000.0,New York,NY,United States,Insurance—Specialty,118.50459,0.023339659,33342,105.4,107.69,33342,6.5,19841,6250643968.0,34870,106.1608,119.25,138.62,,,0.0617,800.0,106.72,0.761,,,89.89,,,59006218.0,7647947776.0,107.69,1.625
AJG,Arthur J. Gallagher & Co. Common Stock,N,N,,60008,Financial Services,34000.0,Rolling Meadows,IL,United States,Insurance Brokers,91.60581,0.018835247,1034900,92.38,94.06,1034900,1.8,973441,17790240768.0,1487772,92.85,93.51,109.46,22.391407,2.58,0.019199999,900.0,94.5,3.139,4.19,,26.524,2538709.0,1.73,187749441.0,21424754688.0,94.06,0.45
AJX,Great Ajax Corp. Common Stock,N,N,,97005,Real Estate,,Beaverton,OR,United States,REIT—Mortgage,11.99875,0.15159313,157028,8.16,8.47,157028,0.68,114001,193002400.0,261593,8.18,8.5,15.96,7.385965,7.95,0.0833,800.0,8.49,24.17,1.14,,14.487,489862.0,2.05,22267743.0,1356360704.0,8.47,0.17
AKR,Acadia Realty Trust Common Stock,N,N,,10580,Real Estate,118.0,Rye,NY,United States,REIT—Retail,20.448015,0.09253247,657642,12.32,12.69,657642,1.16,641001,1093340416.0,1085262,12.23,0.0,29.55,70.55555,3.78,0.0942,800.0,13.03,12.057,0.18,,16.682,1785042.0,1.58,85429527.0,3659005184.0,12.69,0.29
AL,Air Lease Corporation Class A Common Stock,N,N,,90067,Industrials,117.0,Los Angeles,CA,United States,Rental & Leasing Services,36.132355,0.020336606,1621714,28.52,29.36,1621714,0.6,1433662,3454747136.0,2223450,28.8,30.42,49.96,5.9029126,0.86,0.021,800.0,30.45,8.152,5.15,,50.478,7727355.0,4.33,96671947.0,16810832896.0,29.36,0.15
ALB,Albemarle Corporation Common Stock,N,N,,28209,Basic Materials,6000.0,Charlotte,NC,United States,Specialty Chemicals,69.87088,0.019858535,1499728,74.93,76.39,1499728,1.54,1567403,7978178048.0,1777329,74.04,76.25,99.4,14.599222,1.65,0.020499999,1100.0,79.13,2.782,5.14,,36.475,14953312.0,9.86,105708345.0,9725162496.0,76.39,0.385
ALCO,"Alico, Inc. - Common Stock",Q,N,N,33913,Consumer Defensive,235.0,Fort Myers,FL,United States,Farm Products,32.44772,0.009836066,32142,30.5,30.91,32142,0.36,36352,233716352.0,24338,30.07,0.0,38.25,,0.78,0.0117999995,1300.0,31.63,3.034,,,26.455,41474.0,1.94,4329890.0,365526496.0,30.91,0.09
ALEX,"Alexander & Baldwin, Inc. Common Stock REIT Holding Company",N,N,,96801,Real Estate,793.0,Honolulu,HI,United States,REIT—Diversified,17.290148,0.063144326,392814,11.64,11.83,392814,0.76,681778,921907840.0,600496,11.83,0.0,25.38,24.519232,,0.057800002,800.0,12.77,4.126,0.52,,15.321,1078382.0,2.09,71211064.0,1618985344.0,11.83,0.19
ALG,"Alamo Group, Inc. Common Stock",N,N,,78155,Industrials,4270.0,Seguin,TX,United States,Farm & Heavy Construction Machinery,108.89382,0.005012788,75342,97.75,100.0,75342,0.52,114103,1269990272.0,66395,98.18,106.96,132.96,16.248861,0.49,0.0053,800.0,107.99,1.355,6.59,,47.986,270514.0,5.13,11492566.0,1587944960.0,100.0,0.13
ALL,Allstate Corporation (The) Common Stock,N,N,,60062-6127,Financial Services,45780.0,Northbrook,IL,United States,Insurance—Property & Casualty,106.18346,0.021690588,2161357,94.05,96.41,2161357,2.16,2677367,30698557440.0,2565000,94.53,101.87,125.92,9.099628,1.81,0.0221,900.0,97.75,0.783,10.74,,70.486,3079838.0,1.3,312385315.0,34254761984.0,96.41,0.54
ALLE,Allegion plc Ordinary Shares,N,N,,2,Industrials,11000.0,Dublin,,Ireland,Security & Protection Services,113.195366,0.011573126,760642,97.64,99.6,760642,1.28,844758,9132566528.0,903364,97.68,134.27,139.24,22.354403,0.78,0.0128999995,1400.0,100.41,3.713,4.43,,6.629,4404495.0,5.69,91805237.0,10671063040.0,99.6,0.32
